电脑	diànnǎo	компьютер; компьютерный
电焊	diànhàn	электросварка; электросварочный
电焊机	diànhànjī	[p]тех.[/p] электросварочный аппарат
电鱏	diànxún	[p]зоол.[/p] гнюс, электрический скат ([i]один из видов[/i])
电解	diànjiě	электролиз; электролитический; электролитный[m2][*][ex]电解分析 электролитический анализ (способ; [i]в количественном химическом анализе[/i])[/ex][/*][/m][m2][*][ex]电解锌 электролитный цинк[/ex][/*][/m][m2][*][ex]电解定律 закон электролиза[/ex][/*][/m]
电车站	diànchēzhàn	трамвайная остановка
电车道	diànchēdào	[c][i]вост. диал.[/i][/c] шоссе
电料行	diànliàoháng	магазин (лавка, торговая фирма) электротоваров (электроматериалов)
电耕	diàngēng	электропахота
电刑	diànxíng	[p]стар.[/p] пытка электротоком
电刷	diànshuā	электрощётка ([i]в электродвигателе[/i])
电测井	diàncèjǐng	электрический каротаж, ЭК; электрометрия [i](скважин)[/i]
电测深法	diàncèshēnfǎ	[p]геофиз.[/p] метод электрического зондирования электролотом
砂体	shātǐ	песчаное тело
电子管	diànzǐguǎn	[p]эл.[/p] электронная трубка (лампа), радиолампа
电子学	diànzǐxué	электроника ([i]наука[/i])
电子束	diànzǐshù	электронный пучок (луч), пучок электронов, поток электронов
电学	diànxué	электричество ([i]наука[/i])
电铸术	diànzhùshù	гальванопластика; электротипия
电导度	diàndǎodù	[p]физ.[/p] проводимость
电传影	diànchuányǐng	[p]уст.[/p] телефотография; бильдпередача
电击	diànjī	1) ударить током; электрошок, электротравма[m1]2) ударить молниеносно, поразить, как молнией[/m]
电闸	diànzhá	электровыключатель; (электрический) рубильник; электрический тормоз
电嘴	diànzuǐ	[p]тех.[/p] запальная свеча, свеча зажигания
电高炉	diàngāolú	электрическая шахтная печь; электродоменная печь
电稿	diàngǎo	черновик (набросок) телеграммы
电筒	diàntǒng	электрический фонарь
电栅栏	diànzhàlán	[c][i]с.-х.[/i][/c] электроизгородь
电影片	diànyǐngpiàn	кинофильм, кинокартина
电影机	diànyǐngjī	киноаппарат
电影院	diànyǐngyuàn	кинотеатр
电渗	diànshèn	[p]эл.[/p] электро[c red]о[/c]смос
电灼器	diànzhuóqì	[p]мед.[/p] аппарат для диатермии (диатермокоагуляции), электронож
电码	diànmǎ	телеграфный код; телеграфная азбука
电力站	diànlìzhàn	электросиловая станция
电力计	diànlìjì	электросчётчик; ваттметр
电力学	diànlìxué	электродинамика
电力线	diànlìxiàn	[p]эл.[/p] силовая линия
电力率计	diànlìlǜjì	[p]эл.[/p] электродинамометр
电动船	diàndòngchuán	электроход
电动子	diàndòngzǐ	[p]эл.[/p] якорь ([i]электромотора[/i])
电动势	diàndòngshì	электродвижущая сила (ЭДС); электрокинетический потенциал; электродинамическая сила
电饬	diànchì	[p]офиц.[/p] дать телеграфное распоряжение
电势差	diànshìchā	[p]эл.[/p] разность потенциалов; напряжение тока
电母	diànmǔ	[p]миф.[/p] Матерь молнии, Громовержица ([i]божество молний[/i])
电弧焊	diànhúhàn	 электродуговая сварка (ЭДС), дуговая электросварка, дуговая сварка (ДС)
电木粉	diànmùfěn	фенольный пресс-порошок
电媒	diànméi	[c][i]уст.[/c],[c] эл.[/i][/c] диэлектрик
电珠	diànzhū	маленькая электролампочка ([c][i]напр.[/c] карманного фонаря[/i])
电火	diànhuǒ	электрический свет, электричество
电水	diànshuǐ	[p]диал.[/p] электролит
电线	diànxiàn	1) \[электрический\] провод (кабель)[m1]2) электрическая линия[/m]
电泳	diànyǒng	1) [p]хим.[/p] электрофорез[m1]2) [p]ошиб.[/p] [ref]电涌[/ref][/m]
电震	diànzhèn	[p]мед.[/p] электрошок
电表	diànbiǎo	1) электроизмерительный прибор (любой)[m1]2) счётчик электроэнергии, электросчетчик, счётчик киловатт-часов[/m]
电浪	diànlàng	электрические волны (колебания)
电报	diànbào	1) телеграф; телеграфный[m1]2) телеграмма, радиограмма, радиосообщение[/m][m2][*][ex]话传 ([b]chuán[/b]) 电报 телефонограмма[/ex][/*][/m][m2][*][ex]拍(打)电报 отстукать \[ключом\] (отправить, дать) телеграмму[/ex][/*][/m]
电报机	diànbàojī	телеграфный аппарат
电镀	diàndù	гальванизация, гальваностегия
电镀版	diàndùbǎn	гальваностереотип
电侵蚀	diànqīnshí	электроэрозионный
电牧	diànmù	электропастьба
电镦	diàndūn	[p]мет.[/p] электровысадка, электроосадка
电父	diànfù	[p]миф.[/p] Отец молнии, Громовержец ([i]божество молнии[/i])
电达	diàndá	[p]офиц.[/p] сообщить по телеграфу; довести до сведения телеграммой
电机	diànjī	электрическая машина; электродвигатель; электромеханический, электромашинный[m2][*][ex]电机制造\[业\] электромашиностроение[/ex][/*][/m][m2][*][ex]电机工程 электротехника ([i]рабочий процесс[/i]); электротехнический[/ex][/*][/m][m2][*][ex]电机工学 электротехника ([i]наука[/i])[/ex][/*][/m]
电能	diànnéng	электроэнергия[m2][*][ex]电能效率 эффективность электроэнергии ([i]при электролизе[/i])[/ex][/*][/m]
电池室	diànchíshì	[p]эл.[/p] аккумуляторная ([i]помещение[/i])
电拖网	diàntuōwǎng	электротрал
电光石火	diàn guāng shí huǒ	[p]букв.[/p] вспышка молнии, искра кремня; моментально, в мгновение ока, в один миг, молниеносно; мимолётный
电光管	diànguāngguǎn	электролюминесцентная лампа
电光形	diànguāngxìng	зигзаг; зигзагообразный
电光机	diànguāngjī	серебристый каландр
电视	diànshì	1) телевидение; телевизионный; телепередача[m1]2) [p]см.[/p] [ref]电视机[/ref][/m][m2][*][ex]看电视 смотреть телевизор[/ex][/*][/m]
大紫胸鹦鹉	dàzǐxiōng yīngwǔ	китайский кольчатый попугай ([i]лат. Psittacula derbiana[/i])
电流量	diànliúliàng	количество (сила) электрического тока
电流表	diànliúbiǎo	амперметр
电气	diànqì	электричество; электрический; [i]в сложных терминах также:[/i] электро-
电贺	diànhè	отправить поздравительную телеграмму; поздравить телеграммой
电钻	diànzuàn	электробур; электродрель, электросверлилка; электросверло
电疗法	diànliáofǎ	электротерапия, электролечение, гальванизация; гальванотерапия
电悉	diànxí	[c][i]эпист.[/c],[c] офиц.[/i][/c] Вашу телеграмму получил
电感应	diàngǎnyìng	электрическая индукция
电热	diànrè	электротермия; электронагрев; электронагревательный; электротермический
电法勘探	diànfǎkāntàn	электроразведка
电磁石	diàncíshí	электромагнит
电磁场	diàncíchǎng	электромагнитное поле
电磁铁	diàncítiě	электромагнит
电磁说	diàncíshuō	электромагнитная теория
奄宦	yānhuàn	дворцовый евнух
奄溜溜	yānliúliú	[p]диал.[/p] безразличный, равнодушный; унылый; без души
奄布	yǎnbù	компресс
奄冉	yānrǎn	1) тяжёлый, обременительный[m1]2) медлительный, рутинный; медлить; тянуться[/m]
奄甸	yǎndiàn	покрывать
奄欻	yǎnhū	мгновенно, внезапно, неожиданно
奄奄	yǎnyǎn	едва дышать, дышать еле-еле
奄忽	yǎnhū	1) быстро, стремительно, поспешно; сразу[m1]2) погибнуть, умереть[/m]
崦	yān	[c][i]собств. геогр.[/i][/c] ([c][i]сокр. вм.[/c] [/i]崦嵫, 崦山) Яньцзы, Яньшань ([i]гора в пров. Ганьсу; также[c] миф.[/c] гора, за которой заходит солнце[/i])
唵	ǎn	[b]I [/b][p]междом[/p][m2]1) [i]междометие сомнения[/i] да ну?!, э?![/m][m2]2) [c][i]будд.[/i][/c] ([p]санскр.[/p] ом-) [i]начальная частица в молитвах, заклинаниях[/i][/m][m1][b]II[/b] [c][i]гл.[/i][/c][/m][m2]1) есть горстью, запихнуть в рот[/m][m3][*][ex]唵米 пригоршней есть рис[/ex][/*][/m][m2]2) [c][i]пекинск. диал.[/i][/c] хватать ([i]пастью, зубами[/i])[/m][m3][*][ex]唵了他一口 схватить его зубами; тяпнуть[/ex][/*][/m]
显存频率	_	частота видеопамяти
